City_ID,City,Country,Date,Lat,Lon,Max Temp,HUmidity,Cloudiness,Wind Speed
67,Rajampet,IN,2021-04-21 15:02:34,14.1833,79.1667,91.31,44,95,6.49
68,Praxedis Guerrero,MX,2021-04-21 15:02:34,31.3667,-106.0167,48.0,46,20,18.41
69,Nayoro,JP,2021-04-21 15:02:35,44.3506,142.4578,34.74,98,100,4.29
70,Sumbe,AO,2021-04-21 15:02:35,-11.2061,13.8437,89.6,70,20,6.91
71,Dingle,PH,2021-04-21 15:02:35,10.9995,122.6711,79.23,79,100,8.63
72,Carnarvon,AU,2021-04-21 15:02:36,-24.8667,113.6333,73.4,68,97,10.36
73,Mehamn,NO,2021-04-21 15:02:36,71.0357,27.8492,44.6,57,0,18.41
74,Cove,BJ,2021-04-21 15:02:37,7.221,2.3402,99.28,34,100,9.06
75,Naze,JP,2021-04-21 15:02:37,28.3667,129.4833,65.25,70,16,16.82
76,Guerrero Negro,MX,2021-04-21 15:02:38,27.9769,-114.0611,59.5,73,51,11.1
77,Adrar,MR,2021-04-21 15:02:38,20.5022,-10.0711,98.89,5,89,10.85
78,Grindavik,IS,2021-04-21 15:02:38,63.8424,-22.4338,44.6,70,75,18.41
79,Launceston,AU,2021-04-21 14:59:32,-41.45,147.1667,48.99,93,40,8.05
80,Los Llanos De Aridane,ES,2021-04-21 15:02:39,28.6585,-17.9182,73.4,60,75,6.91
81,Torbay,CA,2021-04-21 15:02:40,47.6666,-52.7314,44.01,75,90,14.97
82,Tongchuan,CN,2021-04-21 15:02:40,35.0806,109.0897,52.0,92,61,3.42
83,Tuy Hoa,VN,2021-04-21 15:01:18,13.0833,109.3,77.97,89,98,2.01
84,Saint-Philippe,RE,2021-04-21 15:02:41,-21.3585,55.7679,77.0,83,75,13.8
85,Yarmouth,US,2021-04-21 14:59:09,41.7057,-70.2286,62.01,72,40,12.66
86,Kodiak,US,2021-04-21 15:02:42,57.79,-152.4072,39.2,87,90,18.41
87,Sarkand,KZ,2021-04-21 15:02:42,45.41,79.9186,31.86,91,100,1.7
88,Zuwarah,LY,2021-04-21 15:02:42,32.9312,12.082,74.73,48,64,20.18
89,Yumen,CN,2021-04-21 15:02:43,40.2833,97.2,65.14,13,61,10.33
90,Hithadhoo,MV,2021-04-21 15:02:43,-0.6,73.0833,83.39,64,67,4.72
91,Liku,ID,2021-04-21 15:02:44,-0.7275,119.8922,75.7,91,9,1.39
92,Ancud,CL,2021-04-21 15:02:44,-41.8697,-73.8203,55.99,87,75,8.05
93,Castro,BR,2021-04-21 15:02:44,-24.7911,-50.0119,67.78,57,26,6.46
94,Pangai,TO,2021-04-21 15:02:45,-19.8,-174.35,80.38,78,1,10.02
95,Kruisfontein,ZA,2021-04-21 15:02:45,-34.0033,24.7314,66.99,85,93,3.0
96,Bayir,TR,2021-04-21 15:02:46,37.2687,28.2167,69.8,45,0,20.71
97,Bethel,US,2021-04-21 15:02:46,41.3712,-73.414,64.4,52,20,10.36
98,Tuktoyaktuk,CA,2021-04-21 15:02:47,69.4541,-133.0374,10.4,85,90,23.02
99,Qaanaaq,GL,2021-04-21 15:02:47,77.484,-69.3632,10.31,73,100,9.57
100,Emerald,AU,2021-04-21 15:02:47,-23.5333,148.1667,77.0,69,75,4.61
101,Tiksi,RU,2021-04-21 15:02:48,71.6872,128.8694,12.42,91,99,13.94
102,Leningradskiy,RU,2021-04-21 15:02:48,69.3833,178.4167,20.26,60,22,8.05
103,Unnao,IN,2021-04-21 15:02:49,26.5333,80.5,84.2,51,40,5.17
104,Clyde River,CA,2021-04-21 15:02:49,70.4692,-68.5914,12.2,85,90,11.5
105,Puerto Ayora,EC,2021-04-21 15:02:50,-0.7393,-90.3518,77.0,88,75,6.91
106,Kaitangata,NZ,2021-04-21 15:02:50,-46.2817,169.8464,54.0,84,100,5.01
107,Inirida,CO,2021-04-21 15:02:51,3.8653,-67.9239,87.19,59,50,3.02
108,Mumford,GH,2021-04-21 15:02:51,5.2618,-0.759,85.62,71,100,15.37
109,Taft,IR,2021-04-21 15:02:51,31.7471,54.2088,87.8,11,75,6.91
110,Nanortalik,GL,2021-04-21 15:02:52,60.1432,-45.2371,39.31,71,100,4.36
111,Am Timan,TD,2021-04-21 15:02:52,11.0297,20.2827,105.12,11,22,2.82
112,Jamestown,US,2021-04-21 15:02:53,42.097,-79.2353,30.99,86,90,5.75
