City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Carnarvon,AU,-24.8667,113.6333,82.4,54,1,9.22,clear sky
80,Lasa,IT,46.6166,10.7002,44.01,75,0,4.61,clear sky
81,Yatou,CN,37.15,122.3833,50.79,92,100,14.97,overcast clouds
82,Gilgit,PK,35.9221,74.3087,53.38,18,0,3.27,clear sky
83,Codrington,AU,-38.2667,141.9667,60.39,71,70,12.91,broken clouds
84,East London,ZA,-33.0153,27.9116,59.0,82,0,3.44,clear sky
85,Tongchuan,CN,35.0806,109.0897,50.18,89,100,11.05,light rain
86,Sri Aman,MY,1.2376,111.4621,93.2,59,40,2.3,scattered clouds
87,Hirara,JP,24.8,125.2833,78.8,69,40,19.57,scattered clouds
88,Vila Velha,BR,-20.3297,-40.2925,71.6,88,40,2.3,scattered clouds
89,Iqaluit,CA,63.7506,-68.5145,30.2,100,90,8.05,light snow
90,Narsaq,GL,60.9167,-46.05,37.4,75,1,5.75,clear sky
91,Mudanjiang,CN,44.5833,129.6,41.31,85,100,8.19,light rain
92,Mehran,IR,33.1222,46.1646,75.2,19,0,2.3,clear sky
93,Naze,JP,28.3667,129.4833,69.8,68,75,26.46,broken clouds
94,Prince Rupert,CA,54.3161,-130.3201,46.4,87,1,2.3,clear sky
95,Okotoks,CA,50.7289,-113.9828,30.0,87,100,3.47,overcast clouds
96,Banepa,NP,27.6298,85.5214,80.6,26,20,12.66,few clouds
97,Domoni,KM,-12.2569,44.5319,80.37,85,100,8.84,moderate rain
98,Upernavik,GL,72.7868,-56.1549,27.66,91,100,4.72,overcast clouds
99,Daru,PG,-9.0763,143.2092,84.33,69,70,7.27,broken clouds
100,Havelock,US,34.8791,-76.9013,57.99,81,1,6.8,clear sky
101,Dingle,PH,10.9995,122.6711,89.82,54,93,9.01,overcast clouds
102,Kawalu,ID,-7.3817,108.2082,87.85,49,9,4.7,clear sky
103,Santa Rosa,PH,14.3122,121.1114,90.0,63,8,5.99,clear sky
104,Kapaa,US,22.0752,-159.319,75.2,69,90,17.27,light rain
105,Nanakuli,US,21.3906,-158.1547,77.0,61,20,6.91,light rain
106,Port Hedland,AU,-20.3167,118.5667,95.0,14,0,14.97,clear sky
107,Provideniya,RU,64.3833,-173.3,37.65,69,56,3.91,broken clouds
108,Port Elizabeth,ZA,-33.918,25.5701,57.2,94,40,5.75,fog
109,Srednekolymsk,RU,67.45,153.6833,15.98,92,100,19.01,light snow
110,San Patricio,US,28.017,-97.5169,78.8,94,90,4.61,mist
111,Vaini,TO,-21.2,-175.2,80.6,89,40,3.44,scattered clouds
112,Aksarka,RU,66.5606,67.7975,35.02,99,55,8.57,broken clouds
113,Tuktoyaktuk,CA,69.4541,-133.0374,12.2,85,20,9.22,few clouds
114,Yellowknife,CA,62.456,-114.3525,12.2,62,90,3.44,overcast clouds
115,Mataura,NZ,-46.1927,168.8643,53.01,79,61,3.0,broken clouds
116,San Carlos De Bariloche,AR,-41.1456,-71.3082,41.0,75,0,3.44,clear sky
117,Torbay,CA,47.6666,-52.7314,37.4,93,90,10.36,overcast clouds
118,Constitucion,CL,-35.3333,-72.4167,54.73,71,1,6.04,clear sky
119,Bilibino,RU,68.0546,166.4372,27.7,78,65,2.86,broken clouds
120,Jamestown,US,42.097,-79.2353,44.6,53,1,8.05,clear sky
121,Plotnikovo,RU,55.0247,85.9436,48.2,21,0,13.42,clear sky
122,Severo-Kurilsk,RU,50.6789,156.125,37.54,88,95,6.24,overcast clouds
123,Wattegama,LK,6.7989,81.4808,87.8,79,20,2.3,few clouds
124,Matara,LK,5.9485,80.5353,84.97,71,55,5.93,broken clouds
125,Birobidzhan,RU,48.8,132.95,53.78,19,7,16.53,clear sky
126,Porto Novo,BJ,6.4965,2.6036,84.2,84,40,14.97,scattered clouds
127,Orlik,RU,52.5178,99.825,32.47,74,100,5.66,overcast clouds
128,Azul,AR,-36.777,-59.8585,60.01,100,100,1.99,overcast clouds
129,Ugoofaaru,MV,5.6667,73.0,84.0,71,79,7.43,broken clouds
130,Huarmey,PE,-10.0681,-78.1522,66.94,89,2,7.14,clear sky
131,Airai,TL,-8.9266,125.4092,71.1,63,30,3.71,scattered clouds
132,Alugan,PH,12.2188,125.4808,83.01,77,100,8.23,overcast clouds
133,Biu,NG,10.6129,12.1946,76.75,59,69,7.43,broken clouds
134,Thompson,CA,55.7435,-97.8558,10.4,72,20,0.49,few clouds
135,Tessalit,ML,20.1986,1.0114,80.38,10,0,4.7,clear sky
136,Great Malvern,GB,52.1116,-2.3252,35.01,81,53,4.74,broken clouds
137,Yendi,GH,9.4427,-0.0099,81.84,61,100,7.74,overcast clouds
138,Atambua,ID,-9.1061,124.8925,83.12,58,9,1.48,clear sky
139,Porto Uniao,BR,-26.2381,-51.0783,50.49,93,41,1.25,scattered clouds
140,Harper,LR,4.375,-7.7169,80.37,84,93,7.18,overcast clouds
141,Hithadhoo,MV,-0.6,73.0833,82.65,69,60,2.84,broken clouds
142,Balikpapan,ID,-1.2675,116.8289,85.01,62,67,8.14,broken clouds
143,Haines Junction,CA,60.7522,-137.5108,35.6,55,10,1.14,clear sky
144,Alice Springs,AU,-23.7,133.8833,75.2,22,0,12.66,clear sky
145,Hokitika,NZ,-42.7167,170.9667,56.16,72,75,11.52,broken clouds
146,Kankan,GN,10.3854,-9.3057,79.48,66,100,6.46,overcast clouds
147,Victoria,HK,22.2855,114.1577,81.0,75,77,1.99,broken clouds
148,Kaeo,NZ,-35.1,173.7833,66.0,68,40,3.0,scattered clouds
149,Clyde River,CA,70.4692,-68.5914,5.0,85,90,4.61,mist
150,Mogwase,ZA,-25.185,27.2665,57.52,39,0,2.95,clear sky
151,Natal,BR,-5.795,-35.2094,80.6,78,40,5.75,scattered clouds
152,Misratah,LY,32.3754,15.0925,61.43,84,98,25.99,overcast clouds
153,Belaya Gora,RU,68.5333,146.4167,21.96,74,97,5.06,overcast clouds
154,Marsa Matruh,EG,31.3525,27.2453,53.6,94,40,4.61,scattered clouds
155,Karagaylinskiy,RU,54.172,86.5521,41.5,57,100,11.05,overcast clouds
156,Kulhudhuffushi,MV,6.6221,73.07,83.77,73,69,7.25,broken clouds
157,Naryan-Mar,RU,67.6713,53.087,36.63,78,72,7.07,broken clouds
158,Port Augusta,AU,-32.5,137.7667,68.0,52,0,10.36,clear sky
159,Mar Del Plata,AR,-38.0023,-57.5575,62.01,100,90,4.61,light rain
160,Cidreira,BR,-30.1811,-50.2056,68.77,84,0,14.56,clear sky
161,Lebu,CL,-37.6167,-73.65,52.34,88,91,10.42,overcast clouds
162,Khani,GE,41.9563,42.9566,64.4,52,0,10.36,clear sky
163,Kentau,KZ,43.5206,68.5094,61.38,25,100,1.9,overcast clouds
164,Mocuba,MZ,-16.8392,36.9856,67.98,93,3,1.23,clear sky
165,Fortuna,US,40.5982,-124.1573,50.0,100,90,11.5,overcast clouds
166,Tiksi,RU,71.6872,128.8694,20.62,84,100,21.92,overcast clouds
167,Labuhan,ID,-6.8844,112.2051,86.32,61,12,5.32,few clouds
168,Bhuj,IN,23.2667,69.6667,92.14,31,100,8.34,overcast clouds
169,Sabang,ID,5.8933,95.3214,83.07,73,94,18.12,overcast clouds
170,San Cristobal,VE,7.7669,-72.225,70.88,72,48,0.96,scattered clouds
171,Pisco,PE,-13.7,-76.2167,64.4,88,1,4.61,clear sky
172,Bethel,US,41.3712,-73.414,48.99,65,1,5.21,clear sky
173,Tuatapere,NZ,-46.1333,167.6833,53.01,78,41,1.99,scattered clouds
174,Iquique,CL,-20.2208,-70.1431,64.4,59,0,5.75,clear sky
175,Olinda,BR,-8.0089,-34.8553,78.8,73,20,4.61,few clouds
176,Marystown,CA,47.1666,-55.1483,36.73,86,92,19.15,overcast clouds
177,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,55,0,5.75,clear sky
178,Praia Da Vitoria,PT,38.7333,-27.0667,57.0,76,40,33.8,scattered clouds
179,Bengkulu,ID,-3.8004,102.2655,83.97,63,86,6.24,overcast clouds
180,Mount Gambier,AU,-37.8333,140.7667,60.8,82,40,16.11,scattered clouds
181,Pevek,RU,69.7008,170.3133,20.17,89,48,2.26,scattered clouds
182,Sauce,UY,-34.6469,-56.0628,64.99,94,90,12.66,moderate rain
183,Chokurdakh,RU,70.6333,147.9167,11.89,88,21,1.3,few clouds
184,Salinopolis,BR,-0.6136,-47.3561,77.85,88,100,7.23,overcast clouds
185,Pozo Colorado,PY,-23.4923,-58.7972,67.91,92,98,5.17,overcast clouds
186,Rupert,US,42.6191,-113.6772,48.2,43,1,9.22,clear sky
187,Saint Pete Beach,US,27.7253,-82.7412,72.0,78,90,18.41,overcast clouds
188,Adelaide,AU,-34.9333,138.6,69.01,59,20,12.66,few clouds
189,Svirstroy,RU,60.7999,33.7248,38.12,79,96,4.32,overcast clouds
190,Paamiut,GL,61.994,-49.6678,31.84,75,1,3.78,clear sky
191,Leningradskiy,RU,69.3833,178.4167,27.45,91,95,6.46,overcast clouds
192,Cerritos,US,33.8583,-118.0648,60.8,77,90,3.44,overcast clouds
193,Caraga,PH,9.0,125.7417,86.29,53,100,6.98,overcast clouds
194,Ternate,ID,0.8,127.4,83.64,74,28,10.16,scattered clouds
195,Vestmannaeyjar,IS,63.4427,-20.2734,46.42,90,100,15.32,overcast clouds
196,Karratha,AU,-20.7377,116.8463,91.22,18,0,13.98,clear sky
197,Saskylakh,RU,71.9167,114.0833,34.12,99,100,18.86,overcast clouds
198,Krasnaya Gorbatka,RU,55.8703,41.7641,50.25,80,29,12.59,scattered clouds
199,Luderitz,NA,-26.6481,15.1594,63.05,74,2,7.81,clear sky
200,Dagda,LV,56.0951,27.5372,33.15,83,100,9.37,overcast clouds
201,Bathsheba,BB,13.2167,-59.5167,78.8,65,40,20.71,scattered clouds
202,Jiayuguan,CN,39.8167,98.3,51.35,45,96,3.47,overcast clouds
203,Sinnamary,GF,5.3833,-52.95,77.11,90,100,11.61,heavy intensity rain
204,Kostino,RU,58.9097,53.2691,42.21,80,82,7.99,broken clouds
205,Hailar,CN,49.2,119.7,51.46,16,65,10.87,broken clouds
