City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Lavrentiya,RU,65.5833,-171.0,24.33,93,85,2.59,overcast clouds
80,Hobart,AU,-42.8794,147.3294,50.0,81,40,8.05,scattered clouds
81,Charagua,BO,-19.8,-63.2167,68.0,100,90,10.56,overcast clouds
82,Olavarria,AR,-36.8927,-60.3225,63.46,50,3,14.27,clear sky
83,Ribeira Grande,PT,38.5167,-28.7,60.8,67,75,18.41,broken clouds
84,Tuktoyaktuk,CA,69.4541,-133.0374,21.2,73,75,4.61,broken clouds
85,Great Falls,US,47.5002,-111.3008,39.0,70,90,5.75,overcast clouds
86,Hermanus,ZA,-34.4187,19.2345,63.0,79,98,10.18,overcast clouds
87,Nanortalik,GL,60.1432,-45.2371,40.82,77,100,7.47,overcast clouds
88,Bluff,NZ,-46.6,168.3333,50.0,75,82,8.99,moderate rain
89,Ape,LV,57.5393,26.6929,33.17,86,97,9.93,overcast clouds
90,Katsuura,JP,35.1333,140.3,60.8,67,0,13.8,clear sky
91,Rawson,AR,-43.3002,-65.1023,60.01,45,9,1.16,clear sky
92,Havre-Saint-Pierre,CA,50.2334,-63.5986,44.6,65,40,16.11,scattered clouds
93,Bowen,AU,-20.0167,148.2333,68.0,94,75,11.5,broken clouds
94,Olinda,BR,-8.0089,-34.8553,82.4,65,40,9.22,scattered clouds
95,Butaritari,KI,3.0707,172.7902,82.44,76,96,11.7,overcast clouds
96,Gambela,ET,8.25,34.5833,77.2,72,92,4.32,overcast clouds
97,Manggar,ID,-2.8833,108.2667,81.0,75,38,6.58,scattered clouds
98,Cap Malheureux,MU,-19.9842,57.6142,79.0,82,99,10.0,overcast clouds
99,Avarua,CK,-21.2078,-159.775,78.8,73,20,12.66,few clouds
100,Villa Bruzual,VE,9.3328,-69.1208,96.91,31,87,0.96,overcast clouds
101,San Quintin,MX,30.4833,-115.95,63.27,67,65,15.03,broken clouds
102,Dingle,PH,10.9995,122.6711,76.37,84,78,1.41,light rain
103,Iqaluit,CA,63.7506,-68.5145,33.8,86,75,2.3,broken clouds
104,Faanui,PF,-16.4833,-151.75,80.01,74,100,7.63,light rain
105,Port-Gentil,GA,-0.7193,8.7815,82.4,83,75,8.05,broken clouds
106,Bubaque,GW,11.2833,-15.8333,78.35,70,6,21.72,clear sky
107,Hami,CN,42.8,93.45,50.92,20,37,1.99,scattered clouds
108,Phrae,TH,18.0833,100.0,86.0,50,94,4.85,overcast clouds
109,Juneau,US,58.3019,-134.4197,48.99,49,40,3.44,scattered clouds
110,Antropovo,RU,58.3988,43.0066,48.83,72,84,12.62,broken clouds
111,Fortuna,US,40.5982,-124.1573,53.6,82,75,9.22,light rain
112,Puerto Ayora,EC,-0.7393,-90.3518,82.4,74,75,12.66,broken clouds
113,Stokmarknes,NO,68.5646,14.9108,37.0,71,99,4.0,overcast clouds
114,Saint-Philippe,RE,-21.3585,55.7679,78.8,83,75,27.63,moderate rain
115,Howard Springs,AU,-12.497,131.047,71.01,56,79,3.44,broken clouds
116,Nikolskoye,RU,59.7035,30.7861,42.01,60,20,2.24,few clouds
117,San Lawrenz,MT,36.0553,14.204,63.0,59,0,6.91,clear sky
118,Olafsvik,IS,64.8945,-23.7142,44.94,83,100,16.89,light rain
119,Ahmadpur Sial,PK,30.6754,71.7483,86.0,32,3,6.91,haze
120,Atuona,PF,-9.8,-139.0333,80.65,73,25,21.23,scattered clouds
